CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.01;Receitas;202990.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.01;Receitas;256678.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.01.01;Vendas de Mercadorias, Produtos e Serviços;200678.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.01.01;Vendas de Mercadorias, Produtos e Serviços;262445.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.01.02;Outras Receitas;5801.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.01.02;Outras Receitas;7761.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;-3489.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;-13528.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.02;Insumos Adquiridos de Terceiros;-70657.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;7.02;Insumos Adquiridos de Terceiros;-99508.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;7.02.01;Custos Prods., Mercs. e Servs. Vendidos;-11871.0000000000;S
